bidx	ep	loss_act_b	loss_reg_b	loss_actor_b	loss_critic_b	loss_all
6	59	0.006820546928793192	0.005737705156207085	1.431451678276062	1.0374200344085693	2.4814300537109375
7	59	0.00713975727558136	0.005424282513558865	1.0976921319961548	0.6702104806900024	1.7804666757583618
8	59	0.0059994845651090145	0.005716843996196985	0.7244698405265808	1.2883490324020386	2.0245351791381836
9	59	0.004009581170976162	0.0051834480836987495	0.4612042009830475	1.0559237003326416	1.5263209342956543
10	59	0.0034707363229244947	0.004895915277302265	0.27818763256073	1.006837248802185	1.293391466140747
11	59	0.002435772679746151	0.004933680407702923	0.1479044407606125	0.937311053276062	1.0925849676132202
12	59	0.05971149727702141	0.005520098842680454	0.03285635635256767	1.1099820137023926	1.208069920539856
13	59	0.0018857063259929419	0.004628713242709637	0.12839709222316742	0.7639682292938232	0.8988797664642334
14	59	0.0022235731594264507	0.004416648298501968	0.13483799993991852	1.540021538734436	1.681499719619751
15	59	0.0016908568795770407	0.004367185290902853	-0.05756089463829994	0.9408754110336304	0.8893725872039795
0	60	0.0015932779060676694	0.004389808513224125	-0.20500385761260986	1.765062689781189	1.5660419464111328
1	60	0.0015953242545947433	0.004151895642280579	-0.31281524896621704	0.7620344161987305	0.45496639609336853
2	60	0.001203323365189135	0.003957455512136221	-0.3817155361175537	1.1108794212341309	0.7343246936798096
3	60	0.0010564778931438923	0.003950764425098896	-0.4048309922218323	1.1638884544372559	0.7640646696090698
4	60	0.0012857827823609114	0.004029718227684498	-0.32574450969696045	0.9096130728721619	0.589184045791626
5	60	0.0010714023374021053	0.003859568852931261	-0.2374480813741684	1.3604466915130615	1.1279295682907104
6	60	0.0008041259716264904	0.0034509040415287018	-0.19921568036079407	0.7036892175674438	0.508728563785553
7	60	0.0011018519289791584	0.0037154112942516804	-0.2116917371749878	1.0231842994689941	0.8163098096847534
8	60	0.0008509574690833688	0.003649583552032709	-0.23593363165855408	1.0170027017593384	0.7855696082115173
9	60	0.0008861378883011639	0.003443317022174597	-0.24024486541748047	1.1134036779403687	0.8774882555007935
10	60	0.0008724106010049582	0.003728523850440979	-0.2281632423400879	0.5095774531364441	0.2860151529312134
11	60	0.0007930988795123994	0.003244363237172365	-0.2932671308517456	0.8347152471542358	0.5454856157302856
12	60	0.0007787685608491302	0.003474436467513442	-0.32770445942878723	0.8255941271781921	0.5021429061889648
13	60	0.05681931972503662	0.00396310118958354	-0.36552125215530396	1.221567988395691	0.9168291687965393
14	60	0.0007617275696247816	0.003502846462652087	-0.21478570997714996	0.8635972142219543	0.6530760526657104
15	60	0.0008688842644914985	0.0034028314985334873	-0.08716228604316711	1.0091326236724854	0.9262420535087585
0	61	0.0007838599849492311	0.0033009788021445274	0.043108537793159485	0.9788092374801636	1.0260026454925537
1	61	0.0007360352319665253	0.0037125118542462587	0.136683851480484	0.7868824601173401	0.928014874458313
2	61	0.0007791831740178168	0.0032016215845942497	0.22953945398330688	1.0444872379302979	1.2780075073242188
3	61	0.000782399030867964	0.0031428239308297634	0.30744946002960205	0.776445746421814	1.0878204107284546
4	61	0.0008379939245060086	0.003515769960358739	0.424782931804657	1.1851674318313599	1.6143040657043457
5	61	0.0007515051402151585	0.0031716066878288984	0.541279137134552	0.9947263598442078	1.539928674697876
6	61	0.0007685854798182845	0.0033235778100788593	0.6518664360046387	0.8240217566490173	1.4799803495407104
7	61	0.0008000236703082919	0.003532898146659136	0.7144148349761963	0.9266332387924194	1.645380973815918
